speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	distan	obs-thw	obs-speed	ttc
0.082173	2.208817	6.24160323414	1533175216.252522	13.8102850779	6.23920983595	17.370871	-0.264407	0.021565	19.836729	470782.955439	4399211.339706	-88.121400	0.038367	2.210345	0.531915	1.000000	10.4480156305	0.536207066264	19.4850390601	5.70539616788
0.083495	2.204412	6.24282649919	1533175216.267522	13.7877220441	6.23781447876	17.370871	-0.454389	-0.179155	19.836729	470782.988675	4399211.339610	-88.129157	-0.025504	2.205992	0.531915	1.000000	10.3941769589	0.533452262782	19.4847368435	5.70937423641
0.084150	2.201515	6.23569164083	1533175216.277522	13.7544859054	6.23505701989	17.436483	-0.255269	0.208849	19.913023	470783.010325	4399211.340740	-88.127943	-0.039985	2.203123	0.489362	1.000000	10.3403503073	0.530643076499	19.4864509974	5.70504856433
0.084529	2.200228	6.23396767743	1533175216.282526	13.7328064359	6.23333623945	17.436483	-0.198353	0.172243	19.913023	470783.021149	4399211.341308	-88.127617	-0.044716	2.201851	0.489362	1.000000	10.2857708973	0.52787164444	19.4853635455	5.70609603299
0.085316	2.196349	6.23266702541	1533175216.297522	13.721967543	6.23201458362	17.434958	-0.017175	0.288023	20.000000	470783.053555	4399211.343023	-88.125280	-0.085529	2.198005	0.446809	1.000000	10.232013582	0.525191210735	19.4824539574	5.70747581467
0.085926	2.194264	6.22879721809	1533175216.307525	13.6895161938	6.22815516515	17.434958	-0.178830	-0.208782	20.000000	470783.075134	4399211.344172	-88.124351	0.003577	2.195946	0.446809	1.000000	10.1782562395	0.522474829389	19.4808547072	5.7063223887
0.085967	2.190376	6.2247897477	1533175216.317522	13.6679066255	6.22415424855	17.189289	-0.126912	0.238932	19.476616	470783.096678	4399211.345324	-88.123839	-0.021403	2.192062	0.404255	1.000000	10.1245011468	0.51968989379	19.4818126498	5.70509985391
0.085880	2.189745	6.22551273582	1533175216.322522	13.6463318476	6.22534027212	17.189289	-0.209653	0.282221	19.476616	470783.107507	4399211.345830	-88.122622	-0.025113	2.191428	0.404255	1.000000	10.1245011468	0.51968989379	19.4818126498	5.70582284203
0.086617	2.187749	6.22237741458	1533175216.332525	13.6354910323	6.22219440123	17.091631	-0.509809	-0.048550	19.557487	470783.129157	4399211.346846	-88.121571	-0.000967	2.189463	0.361702	1.000000	10.0169106291	0.51413073721	19.483197374	5.70824667737
0.086795	2.183019	6.21805928488	1533175216.347525	13.6138172058	6.21787954661	17.091631	-0.398711	-0.115717	19.557487	470783.161566	4399211.348376	-88.120462	-0.040548	2.184744	0.361702	1.000000	9.96312158657	0.511375331809	19.482992172	5.70668395307
0.088206	2.178898	6.23170620372	1533175216.357522	13.5813721109	6.21645927891	17.189289	-0.152310	0.476748	19.636835	470783.183758	4399211.347705	-88.128222	-0.020447	2.180683	0.340426	1.000000	9.90932259634	0.508643963422	19.4818444903	5.7230622403
0.088458	2.175194	6.21839252653	1533175216.367522	13.5591699689	6.21785466707	17.189289	-0.120465	0.022660	19.636835	470783.205174	4399211.348854	-88.128246	-0.042345	2.176992	0.340426	1.000000	9.8286246301	0.504491026969	19.4822585629	5.71390149956
0.088373	2.172583	6.21907603892	1533175216.377522	13.5377231684	6.2185452075	17.189289	-0.186393	0.295053	19.711605	470783.226566	4399211.350004	-88.128147	-0.021019	2.174380	0.297872	1.000000	9.77398024301	0.501677620222	19.4825917064	5.7173984187
0.088531	2.171581	6.21670323706	1533175216.382525	13.5163002796	6.2161628968	17.189289	-0.238518	0.354378	19.711605	470783.237257	4399211.350580	-88.128387	0.000508	2.173385	0.297872	1.000000	9.74709811732	0.500367506343	19.479878277	5.71633573072
0.088837	2.168014	6.21462416351	1533175216.397525	13.5055937742	6.21408253677	17.123674	-0.361067	-0.037542	19.867247	470783.269278	4399211.352309	-88.127457	-0.004174	2.169833	0.297872	1.000000	9.74709811732	0.500367506343	19.479878277	5.71425665717
0.088785	2.165254	6.20962068232	1533175216.407522	13.4735261288	6.20947608817	17.123674	-0.306081	0.233099	19.867247	470783.290705	4399211.353334	-88.127589	0.000474	2.167074	0.255319	1.000000	9.61269778658	0.493565558905	19.4760303128	5.71605512342
0.089099	2.163724	6.20763410396	1533175216.417522	13.4520746264	6.20748282081	17.172503	-0.270183	0.016667	19.551384	470783.312115	4399211.354361	-88.127523	0.006250	2.165558	0.212766	1.000000	9.61269778658	0.493565558905	19.4760303128	5.71406854506
