speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	obs-distan	obs-thw	obs-speed	ttc
-0.209778	-0.761891	10.8599524549	1533265695.963363	8.54233441233	10.8588122541	17.892729	0.472811	-0.087493	18.173494	433316.475628	4437235.825949	108.331553	0.031527	0.790243	57.595745	1.000000	6.85628406139	0.757739075162	9.04834432608	10.1022133797
-0.210703	-0.765025	10.8009461241	1533265695.973363	8.53447424129	10.7998099841	17.630274	0.420967	-0.051244	18.689251	433316.467990	4437235.823965	108.384400	0.012655	0.793510	57.595745	1.000000	6.83138830005	0.75820723699	9.00992230985	10.0427388871
-0.212301	-0.768043	10.7464571453	1533265695.983364	8.52658277115	10.7454005257	17.630274	0.313788	-0.080305	18.689251	433316.460323	4437235.821969	108.437230	-0.004068	0.796844	57.595745	1.000000	6.80660317258	0.758735774092	8.97097962822	9.98772137121
-0.211766	-0.769059	10.6922787866	1533265695.988364	8.51866021436	10.6904992876	17.140459	0.268029	-0.017684	19.526970	433316.456616	4437235.821017	108.459878	-0.040208	0.797682	57.574467	1.000000	6.79425957551	0.759365219029	8.94728834723	9.93291356757
-0.214235	-0.773248	10.6763845713	1533265696.003369	8.51483292385	10.6744704329	17.140459	0.163534	-0.083952	19.526970	433316.445020	4437235.818059	108.539044	-0.049468	0.802377	57.574467	1.000000	6.75746557062	0.760383529384	8.88691733775	9.91600104192
-0.216232	-0.777622	10.5975083811	1533265696.013369	8.50286559424	10.5970953732	16.978714	0.105375	-0.038754	20.119020	433316.437257	4437235.815982	108.591466	-0.059287	0.807125	57.574467	1.000000	6.73304693631	0.761003592435	8.84758889871	9.83650478866
-0.217138	-0.778557	10.5267350915	1533265696.023369	8.49482954431	10.5248004266	16.978714	0.109335	0.109216	20.119020	433316.429345	4437235.813945	108.643847	-0.058987	0.808269	57.574467	1.000000	6.70859830135	0.760943096713	8.81616290407	9.76579199479
-0.218140	-0.779308	10.5014187898	1533265696.033369	8.48665953129	10.4997958988	17.059586	0.169092	0.134290	20.334173	433316.421410	4437235.811882	108.696248	-0.060163	0.809263	57.574467	1.000000	6.68427675403	0.761366273456	8.77931816403	9.74005251634
-0.219481	-0.780215	10.4783225007	1533265696.043369	8.47846073915	10.4767680459	17.059586	0.295901	0.086585	20.334173	433316.413466	4437235.809805	108.748838	-0.056964	0.810498	57.574467	1.000000	6.66004767352	0.761939547306	8.74091349776	9.71638295339
-0.221360	-0.781973	10.4522300082	1533265696.053369	8.47024970596	10.4506731737	17.320517	0.386179	0.065547	20.572214	433316.405508	4437235.807714	108.800367	-0.092938	0.812701	57.574467	1.000000	6.63592721201	0.76251621078	8.70267034089	9.68971379742
-0.223492	-0.784291	10.4137484386	1533265696.063369	8.46202158075	10.4122199687	17.320517	0.413476	0.023786	20.572214	433316.397533	4437235.805603	108.853222	-0.103381	0.815513	57.574467	1.000000	6.61191155245	0.763273094058	8.66257648007	9.65047534454
-0.226177	-0.785673	10.3676330013	1533265696.078369	8.45377191735	10.3662012958	17.091631	0.219632	0.084390	20.776684	433316.385541	4437235.802400	108.931803	-0.138619	0.817580	57.574467	1.000000	6.58800102646	0.763803367419	8.62525789683	9.60382963388
-0.227282	-0.787283	10.326391321	1533265696.083369	8.44135953352	10.3248116802	17.091631	0.120054	0.146061	20.776684	433316.381537	4437235.801323	108.958167	-0.139627	0.819434	57.574467	1.000000	6.56419023447	0.764207309964	8.58954127877	9.56218401104
