auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
12.890690	-1.098772	12.843776	127.610263	0.084954	-1025001.000000	2.000066	-0.221962	1.987711	10.891416	-0.876810	10.856065	1.000000	11.716591	1542945306.003154	9.899413
12.876088	-1.097683	12.829214	127.526334	0.085250	-1025001.000000	2.000066	-0.221962	1.987711	10.876813	-0.875720	10.841503	1.000000	11.724604	1542945306.011155	9.904121
12.875429	-1.097216	12.828593	127.423460	0.085032	-1025001.000000	2.000066	-0.221962	1.987711	10.876157	-0.875254	10.840882	1.000000	11.715854	1542945306.019155	9.896638
12.875104	-1.097098	12.828277	127.320593	0.084813	-1025001.000000	2.000066	-0.221962	1.987711	10.875832	-0.875136	10.840565	1.000000	11.706745	1542945306.027155	9.888898
12.876000	-1.097936	12.829104	128.750861	0.084381	-1025001.000000	2.000127	-0.224383	1.987501	10.876738	-0.873553	10.841602	1.000000	11.837267	1542945306.043154	9.999291
12.877667	-1.097685	12.830799	128.647954	0.084166	-1025001.000000	2.000127	-0.224383	1.987501	10.878408	-0.873303	10.843297	1.000000	11.825991	1542945306.051156	9.990005
12.878689	-1.096069	12.831963	128.545101	0.083942	-1025001.000000	2.000127	-0.224383	1.987501	10.879439	-0.871686	10.844462	1.000000	11.815417	1542945306.059153	9.981226
12.880105	-1.093403	12.833611	128.442203	0.083700	-1025001.000000	2.000127	-0.224383	1.987501	10.880868	-0.869021	10.846110	1.000000	11.804408	1542945306.067153	9.972140
12.882662	-1.092005	12.836296	128.236357	0.083176	-1025001.000000	2.000127	-0.224383	1.987501	10.883434	-0.867622	10.848795	1.000000	11.782711	1542945306.083154	9.954182
12.883401	-1.092598	12.836988	128.133442	0.082912	-1025001.000000	2.000127	-0.224383	1.987501	10.884170	-0.868215	10.849487	1.000000	11.772458	1542945306.091153	9.945622
12.884269	-1.093292	12.837800	128.030493	0.082653	-1025001.000000	2.000127	-0.224383	1.987501	10.885035	-0.868910	10.850299	1.000000	11.762065	1542945306.099154	9.936962
